WormBaseID	SRR28479535	SRR28479537	SRR28479531	SRR28479538	SRR28479526	SRR28479528	SRR28479530	SRR28479534	SRR28479529	SRR28479539	SRR28479525	SRR28479532	SRR28479533	SRR28479536	SRR28479527	SRR28479540
WBGene00021011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13764.2880399569	0.0	0.0	0.0	0.0
WBGene00020859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00013970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5081.612748234461	6294.916716225715	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00017711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22595.656456653553	0.0	0.0	12101.419151347365	0.0
WBGene00013585	4819.821015144996	6014.416588209954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4782.104466910277	0.0	0.0	0.0	4302.3456430996885	0.0
WBGene00016782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11839.257469368657	0.0	0.0	0.0	0.0	25290.078886684165	0.0	0.0	0.0
WBGene00020920	0.0	5629.73731312677	0.0	0.0	4485.027580007839	0.0	0.0	0.0	0.0	8296.966266197323	4454.843975360283	0.0	0.0	0.0	0.0	0.0
WBGene00000503	0.0	10611.604522668425	0.0	23833.59910612567	42118.81415340384	0.0	0.0	0.0	0.0	7820.0666446685345	29271.815669940228	0.0	0.0	0.0	30127.27293892501	29327.121955784405
WBGene00008929	0.0	0.0	0.0	0.0	6551.313428053585	0.0	0.0	0.0	0.0	0.0	6528.997294079431	0.0	0.0	0.0	0.0	0.0
WBGene00002252	0.0	0.0	13442.150593230426	0.0	0.0	0.0	0.0	6897.167305752778	0.0	0.0	0.0	0.0	3911.338193646769	0.0	0.0	0.0
WBGene00013090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00010871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
