Gene_ID	SRR28479526	SRR28479525
WBGeneC37A5	55.568	0.0
WBGeneC37C3	1502.456293	467.8215
WBGeneC37E2	247.449	225.811
WBGeneC37F5	0.0	0.0
WBGeneC37H5	363.5631	145.8007
WBGeneC38C10	196.7344	67.738
WBGeneC38C3	681.095	218.206
WBGeneC38C5	625.502	0.0
WBGeneC38C6	113.396	0.0
WBGeneC38D4	742.7446	251.3528
WBGeneC38D9	0.0	0.0
WBGeneC38H2	191.708	0.0
WBGeneC39B10	0.0	0.0
WBGeneC39B5	0.0	0.0
WBGeneC39D10	28.2716	0.0
WBGeneC39E6	0.0	316.0082
WBGeneC39E9	765.8854	0.0
WBGeneC39F7	397.98396248	195.5445305
WBGeneC39H7	0.0	0.0
WBGeneC40A11	464.328	336.878
WBGeneC40C9	0.0	0.0
WBGeneC40D2	0.0	0.0
WBGeneC40H1	0.0	198.87
WBGeneC40H5	223.77589999999998	0.0
WBGeneC41A3	0.0	0.0
WBGeneC41C4	268.0874	632.5102999999999
WBGeneC41D11	336.6257	0.0
WBGeneC41D7	0.0	0.0
WBGeneC41G11	89.6027	42.432
WBGeneC41G6	0.0	0.0
WBGeneC41G7	320.9989	383.14119999999997
WBGeneC41H7	0.0	98.307
WBGeneC42C1	1324.9054	2551.537
WBGeneC42D4	371.634	0.0
WBGeneC42D8	787.4730999999999	529.0932
WBGeneC43C3	0.0	77.9212
WBGeneC43D7	294.694	170.493
WBGeneC43E11	499.7691	892.0437
WBGeneC43F9	195.1035	275.196
WBGeneC43G2	333.935	31.9986492
WBGeneC43H6	85.3591	91.41
WBGeneC43H8	0.0	618.694
WBGeneC44B11	142.114	0.0
WBGeneC44B12	880.517	840.814
WBGeneC44B7	462.5319	64.7467
WBGeneC44B9	169.721	161.5162
WBGeneC44C1	208.0895	143.048
WBGeneC44C10	86.3198	0.0
WBGeneC44C11	109.541	0.0
WBGeneC44C3	0.0	0.0
WBGeneC44C8	382.47630000000004	130.8788
WBGeneC44E12	0.0	74.16493187
WBGeneC44E4	175.61097	327.19051
WBGeneC44F1	49.4356	0.0
WBGeneC44H4	251.92047204000002	563.5442400000001
WBGeneC44H9	0.0	133.316
WBGeneC45B11	0.0	111.4734
WBGeneC45B2	131.275	93.1093
WBGeneC45E1	113.457	0.0
WBGeneC45E5	55.4676	105.209
WBGeneC45G3	26.7512	25.2794
WBGeneC45G7	58.5371	0.0
WBGeneC45G9	429.276	0.0
WBGeneC45H4	0.0	0.0
WBGeneC46A5	580.7279	94.1362
WBGeneC46C11	0.0	36.1344
WBGeneC46C2	174.79	127.1199
WBGeneC46E1	0.0	0.0
WBGeneC46E10	0.0	164.363
WBGeneC46F11	121.30386600000001	379.254
WBGeneC46F2	0.0	0.0
WBGeneC46F4	0.0	153.429
WBGeneC46F9	0.0	81.7166
WBGeneC46G7	621.259	0.0
WBGeneC46H11	185.26314665	40.848622199999994
WBGeneC46H3	97.9473	0.0
WBGeneC47A10	0.0	0.0
WBGeneC47A4	0.0	0.0
WBGeneC47B2	404.3794	573.4649999999999
WBGeneC47C12	0.0	73.9751
WBGeneC47D12	64.183507432281	637.9529188848139
WBGeneC47D2	0.0	0.0
WBGeneC47E12	728.2795	433.09107243334
WBGeneC47E8	800.714394	568.47739
WBGeneC47F8	0.0	0.0
WBGeneC47G2	332.776	80.1243
WBGeneC48A7	58.5902	29.6492
WBGeneC48B4	123.3349	346.62135
WBGeneC48B6	369.3377	1469.8306
WBGeneC48C5	0.0	0.0
WBGeneC48D1	91.8179	305.0722
WBGeneC48D5	90.662	59.996
WBGeneC48E7	2808.1317	950.8026
WBGeneC48G7	119.784	77.28989999999999
WBGeneC49A1	0.0	75.587882642
WBGeneC49A9	0.0	66.4849
WBGeneC49C3	303.827	166.561
WBGeneC49C8	0.0	0.0
WBGeneC49D10	0.0	0.0
WBGeneC49F5	75.86	85.3234
WBGeneC49F8	0.0	225.567
WBGeneC49G7	0.0	0.0
WBGeneC49G9	0.0	0.0
WBGeneC49H3	465.43451988	2195.9265297
WBGeneC50A2	0.0	0.0
WBGeneC50B6	369.94100000000003	600.886
WBGeneC50B8	439.466	529.735
WBGeneC50C10	0.0	0.0
WBGeneC50C3	261.3692	250.6514
WBGeneC50D2	1351.5024	317.16540000000003
WBGeneC50E10	0.0	0.0
WBGeneC50E3	148.537	76.998
WBGeneC50F2	1093.4634	631.67220229204
WBGeneC50F4	344.2403	1023.67
WBGeneC50F7	0.0	78.3908
WBGeneC50H11	0.0	0.0
WBGeneC50H2	36.4736	0.0
WBGeneC51E3	0.0	138.053
WBGeneC51F7	113.295	107.083
WBGeneC52A10	60.6992	71.5921
WBGeneC52A11	82.4574	0.0
WBGeneC52B11	178.154	84.836
WBGeneC52B9	0.0	172.5397
WBGeneC52D10	863.81773	1325.9370000000001
WBGeneC52E12	189.37369999999999	36.862200530904
WBGeneC52E2	137.741	0.0
WBGeneC52E4	966.279	1227.1229
WBGeneC52G5	0.0	0.0
WBGeneC53A3	0.0	0.0
WBGeneC53A5	1795.9007000000001	2545.27
WBGeneC53B4	659.0819	313.28
WBGeneC53B7	949.1432	113.176
