target_id,WBGene_ID,tpm
B0350.2d.1,WBGene00006780,0.0
B0350.2e.1,WBGene00006780,153.792
B0350.2f.1,WBGene00006780,53.7101
B0350.2h.1,WBGene00006780,0.0
B0350.2i.1,WBGene00006780,0.0
B0350.2j.1,WBGene00006780,0.0
B0353.1a.1,WBGene00015155,0.0
B0353.1b.1,WBGene00015155,0.0
B0353.1c.1,WBGene00015155,0.0
B0353.1c.2,WBGene00015155,0.0
B0353.1d.1,WBGene00015155,0.0
B0353.1e.1,WBGene00015155,0.0
B0353.1e.2,WBGene00015155,0.0
B0361.10.1,WBGene00015164,0.0
B0361.10.2,WBGene00015164,440.321
B0361.11.1,WBGene00015165,0.0
B0361.14.1,WBGene00303033,0.0
B0361.2a.1,WBGene00015156,0.0
B0361.2b.1,WBGene00015156,0.0
B0361.3.1,WBGene00015157,0.0
B0361.4.1,WBGene00015158,0.0
B0361.5a.1,WBGene00015159,1.56612
B0361.5b.1,WBGene00015159,171.568
B0361.6.1,WBGene00015160,0.0
B0361.7.1,WBGene00015161,0.0
B0361.7.2,WBGene00015161,0.0
B0361.8.1,WBGene00015162,0.0
B0361.9.1,WBGene00015163,0.0
B0365.1.1,WBGene00007150,0.0
B0365.3.1,WBGene00001137,6.66879e-05
B0365.3.2,WBGene00001137,693.939
B0365.5a.1,WBGene00007152,0.0
B0365.5b.1,WBGene00007152,0.0
B0365.6.1,WBGene00007153,0.0
B0365.7.1,WBGene00007154,0.0
B0365.9.1,WBGene00219208,0.0
B0379.1a.1,WBGene00007155,400.716
B0379.2.1,WBGene00007156,0.0
B0379.3a.1,WBGene00003508,129.563
B0379.3b.1,WBGene00003508,0.0203794
B0379.4a.1,WBGene00007054,0.0
B0379.4b.1,WBGene00007054,0.0
B0379.4c.1,WBGene00007054,0.0
B0379.6.1,WBGene00007158,0.0
B0379.7.1,WBGene00007159,0.0
B0379.7.2,WBGene00007159,0.0
B0391.11a.1,WBGene00007166,0.0
B0391.11b.1,WBGene00007166,0.0
B0391.12.1,WBGene00006289,0.0
B0391.14.1,WBGene00206462,0.0
B0391.4.1,WBGene00006080,0.0
B0391.5.1,WBGene00007162,0.0
B0391.6.1,WBGene00007163,0.0
B0391.9.1,WBGene00007164,0.0
B0393.1.1,WBGene00004469,3998.9
B0393.2.1,WBGene00007167,0.0
B0393.2.2,WBGene00007167,0.0
B0393.3.1,WBGene00007168,0.0
B0393.4.1,WBGene00007169,0.0
B0393.5.1,WBGene00007170,0.0
B0393.6.1,WBGene00007171,0.0
B0393.7.1,WBGene00007172,0.0
B0393.8.1,WBGene00007173,0.0
B0393.9a.1,WBGene00044636,0.0
B0393.9b.1,WBGene00044636,0.0
B0395.1.1,WBGene00003729,0.0
B0395.1.2,WBGene00003729,0.0
B0395.2.1,WBGene00007174,156.185
B0395.3.1,WBGene00007175,0.0
B0395.3.2,WBGene00007175,0.0
B0395.3.3,WBGene00007175,0.0
B0399.1a.1,WBGene00007176,0.0
B0399.1b.1,WBGene00007176,0.0
B0399.1c.1,WBGene00007176,0.0
B0399.1d.1,WBGene00007176,0.0
B0399.1e.1,WBGene00007176,0.0
B0399.1f.1,WBGene00007176,0.0
B0399.2.1,WBGene00007177,0.0
B0403.2.1,WBGene00006712,87.8351
B0403.3.1,WBGene00015167,0.0
B0403.3.2,WBGene00015167,0.0
B0403.4.1,WBGene00015168,146.324
B0403.5.1,WBGene00015169,0.0
B0403.6.1,WBGene00043982,0.0
B0410.1.1,WBGene00015170,0.0
B0410.2a.1,WBGene00015171,0.0
B0410.2b.1,WBGene00015171,0.0
B0410.3.1,WBGene00015172,0.0
B0412.1a.1,WBGene00000895,0.0
B0412.1b.1,WBGene00000895,0.0
B0412.2.1,WBGene00000903,292.219
B0412.3a.1,WBGene00015173,194.692
B0412.3b.1,WBGene00015173,0.0
B0412.3c.1,WBGene00015173,0.0
B0412.3d.1,WBGene00015173,0.0
B0412.3e.1,WBGene00015173,0.0
B0412.4.1,WBGene00004498,11060.5
B0414.1.1,WBGene00015175,0.0
B0414.2.1,WBGene00004393,0.0
B0414.2.2,WBGene00004393,0.0
B0414.2.3,WBGene00004393,0.0
B0414.3.1,WBGene00001856,0.0
B0414.5.1,WBGene00000772,0.0
B0414.6.1,WBGene00001600,0.0
B0414.7a.1,WBGene00003472,0.0
B0414.7a.2,WBGene00003472,0.0
B0414.7b.1,WBGene00003472,0.0
B0414.8a.1,WBGene00015176,0.0
B0414.8b.1,WBGene00015176,0.0
B0416.10.1,WBGene00206482,0.0
